"Product_ID,Category,Name_CN,Name_EN,Latin_Name,Origin,Volume,Price,Ingredients,Usage,Method,Description,Version_Date"
"BE01,blend-oil,呼吸通暢按摩油,Respiro-Calm Respiratory Massage Oil,Eucalyptus radiata ✕ Magnolia biondii Blend,Soulgreen 實驗室,10ML,68,""黑種草籽油、芝麻油、金盞菊浸泡油、澳洲尤加利、辛夷、穗花薰衣草、馬鞭草酮迷迭香、沒藥、松紅梅、索馬利亞乳香、德國洋甘菊、大高良薑、高地牛膝草"",""適用過敏鼻炎、鼻塞"",直接滴入鼻腔、按壓迎香穴、滴在紙巾嗅吸,""專為季節性呼吸道沉悶設計。運用桉油醇協同辛夷精油，調節鼻黏膜過度反應，物理性稀釋分泌物，還原清爽氣息。"",2026-05-25"
"BE02,blend-oil,呼吸道急救精華油,Respiro-Rescue Intensive Shield Oil,Melaleuca quinquenervia ✕ Laurus nobilis Blend,Soulgreen 實驗室,10ML,68,""金盞菊浸泡油、沙棘油、綠花白千層、德國洋甘菊、辛夷、月桂、胡椒薄荷、乳香、岩玫瑰、沒藥、莎羅白樟"",""針對感冒初期與呼吸道不適"",根據症狀推前胸、後背、腿部、腹部等,""針對生理防禦挑戰早期的急症應變設計。高修護力沙棘油協同綠花白千層與月桂精油，實質調節並激勵免疫系統，幫助快速脫離不適週期。"",2026-05-25"
"BE03,blend-oil,隨身呼吸守護棒,Deep Blue Shield Guard Roll-On,Citrus limon ✕ Ravensara aromatica Blend,Soulgreen 實驗室,10ML,68,""檸檬、羅文莎葉、藍膠尤加利、冷杉、甜羅勒、藍艾菊、胡椒薄荷、辛夷、乳香、馬鞭草酮迷迭香、龍艾"",""鼻炎、花粉症預防、症狀舒緩"",攜帶方便隨時塗抹迎香穴與鼻腔外側,""隨身攜帶的快速舒緩工具。以羅文莎葉與藍膠尤加利為核心，提供即時的呼吸道防禦屏障。"",2026-05-25"
"BE04,blend-oil,順暢呼吸鼻吸棒,Nasal Congestion Relief Inhaler Set,Essential Oil Inhalation Blend,Soulgreen 實驗室,5ML+鼻吸棒,88,""檸檬、羅文莎葉、澳洲尤加利、胡椒薄荷、醒目薰衣草、辛夷"",""鼻塞時嗅吸使用"",將精油滴入鼻吸棒棉芯後嗅吸,""專為呼吸道阻塞設計的吸入式配方。迅速作用於呼吸道黏膜，帶來清涼、開闊的呼吸體驗。"",2026-05-25"
"BE05,blend-oil,兒童日常呼吸保養油,Kids Daily Respiratory Maintenance Oil,Child Respiratory Immune Support,Soulgreen 實驗室,15ML,78,""澳洲尤加利、羅文莎葉、佛手柑、沈香醇百里香、玫瑰天竺葵、西伯利亞冷杉、史泰格尤加利、卡式乳香、岩玫瑰、玫瑰草、橙花、萊姆"",""兒童日常保養、建立免疫"",塗抹於兒童前胸、後背,""針對兒童體質設計的長期養護處方。融合多種溫和精油，透過日常塗抹建立呼吸道免疫屏障。"",2026-05-25"
"BE06,blend-oil,咽喉急救舒緩複方,Throat Comfort Blend,Soothing Throat Formula,Soulgreen 實驗室,5ML,68,""茶樹、薄荷、丁香花苞、昆士亞"",""用於感冒喉嚨腫痛的症狀處理"",頻繁塗抹於咽喉、脖子處，一次五滴。一大匙橄欖油加入20滴油嗽,""針對咽喉不適的急救配方。利用茶樹與丁香花苞強大的淨化分子，提供直接且快速的舒緩支持。"",2026-05-25"
"EO001,single-oil,桉油醇迷迭香,Rosemary Cineole,Rosmarinus officinalis ct. cineole,突尼西亞,10ML,49,""100% 桉油醇迷迭香純精油"",""神經清明、循環激勵"",擴香或稀釋後按摩,""富含 1,8-桉油醇分子，能激勵呼吸道纖毛運動，掃除大腦沉悶感。"",2026-05-25"
"EO002,single-oil,真正薰衣草,True Lavender,Lavandula angustifolia,法國,10ML,53,""100% 真正薰衣草純精油"",""平穩自律神經"",夜間擴香或稀釋按摩,""高比例乙酸芳樟酯，實質下調交感神經亢進，協助身心回歸平穩。"",2026-05-25"
"EO003,single-oil,檸檬,Lemon,Citrus limon,義大利,10ML,29,""100% 檸檬純精油"",""思緒澄清、環境潔淨"",擴香,""由單萜烯主導，明亮果皮香氣能掃除負面壓抑，帶來條理分明的理性思緒。"",2026-05-25"
"EO004,single-oil,胡椒薄荷,Peppermint,Mentha piperita,美國,10ML,44,""100% 胡椒薄荷純精油"",""清涼激勵、緩解沉滯"",日間專注力擴香,""富含薄荷醇，活化冷感受體，排除大腦昏沉與邏輯黏滯。"",2026-05-25"
